[2024-08-22 09:33:23,158][basic_search][INFO][color_logger.py:203] Logfile: /gyc_data/fray_data/project_hw/logs_gray_clapboard_search/basic_search_2024-08-22-09-33-23-158290.log
[2024-08-22 09:33:23,161][basic_search][INFO][html_visualizer.py:462] Please open the html file to view visualization result: file:///gyc_data/fray_data/project_hw/logs_gray_clapboard_search/history/basic_search/basic_search_2024-08-22-09-33-23-159966.html
[2024-08-22 09:33:31,742][basic_search][INFO][generic_smbo.py:310] Iter 134, objectives: [3848444.0].
[2024-08-22 09:33:31,808][basic_search][INFO][generic_smbo.py:310] Iter 135, objectives: [4040487.0].
[2024-08-22 09:33:31,868][basic_search][INFO][generic_smbo.py:310] Iter 136, objectives: [3647081.0].
[2024-08-22 09:33:31,932][basic_search][INFO][generic_smbo.py:310] Iter 137, objectives: [3842057.0].
[2024-08-22 09:33:31,998][basic_search][INFO][generic_smbo.py:310] Iter 138, objectives: [4173565.0].
[2024-08-22 09:33:32,061][basic_search][INFO][generic_smbo.py:310] Iter 139, objectives: [3707067.0].
[2024-08-22 09:33:32,127][basic_search][INFO][generic_smbo.py:310] Iter 140, objectives: [4004325.0].
[2024-08-22 09:33:32,196][basic_search][INFO][generic_smbo.py:310] Iter 141, objectives: [4257763.0].
[2024-08-22 09:33:32,257][basic_search][INFO][generic_smbo.py:310] Iter 142, objectives: [3500432.0].
[2024-08-22 09:33:32,321][basic_search][INFO][generic_smbo.py:310] Iter 143, objectives: [3796515.0].
[2024-08-22 09:33:32,392][basic_search][INFO][generic_smbo.py:310] Iter 144, objectives: [4367285.0].
[2024-08-22 09:33:32,453][basic_search][INFO][generic_smbo.py:310] Iter 145, objectives: [3487090.0].
[2024-08-22 09:33:32,524][basic_search][INFO][generic_smbo.py:310] Iter 146, objectives: [4376282.0].
[2024-08-22 09:33:32,587][basic_search][INFO][generic_smbo.py:310] Iter 147, objectives: [3616828.0].
[2024-08-22 09:33:32,657][basic_search][INFO][generic_smbo.py:310] Iter 148, objectives: [4160223.0].
[2024-08-22 09:33:32,726][basic_search][INFO][generic_smbo.py:310] Iter 149, objectives: [4205179.0].
[2024-08-22 09:33:32,788][basic_search][INFO][generic_smbo.py:310] Iter 150, objectives: [3489759.0].
[2024-08-22 09:33:32,856][basic_search][INFO][generic_smbo.py:310] Iter 151, objectives: [3965477.0].
[2024-08-22 09:33:32,926][basic_search][INFO][generic_smbo.py:310] Iter 152, objectives: [3970174.0].
[2024-08-22 09:33:32,993][basic_search][INFO][generic_smbo.py:310] Iter 153, objectives: [3762930.0].
[2024-08-22 09:33:33,063][basic_search][INFO][generic_smbo.py:310] Iter 154, objectives: [4183175.0].
[2024-08-22 09:33:33,132][basic_search][INFO][generic_smbo.py:310] Iter 155, objectives: [3976340.0].
[2024-08-22 09:33:33,200][basic_search][INFO][generic_smbo.py:310] Iter 156, objectives: [3923980.0].
[2024-08-22 09:33:33,270][basic_search][INFO][generic_smbo.py:310] Iter 157, objectives: [4129495.0].
[2024-08-22 09:33:33,343][basic_search][INFO][generic_smbo.py:310] Iter 158, objectives: [4389607.0].
[2024-08-22 09:33:33,415][basic_search][INFO][generic_smbo.py:310] Iter 159, objectives: [4238086.0].
[2024-08-22 09:33:33,483][basic_search][INFO][generic_smbo.py:310] Iter 160, objectives: [3829734.0].
[2024-08-22 09:33:33,555][basic_search][INFO][generic_smbo.py:310] Iter 161, objectives: [4166571.0].
[2024-08-22 09:33:33,627][basic_search][INFO][generic_smbo.py:310] Iter 162, objectives: [4275909.0].
[2024-08-22 09:33:33,700][basic_search][INFO][generic_smbo.py:310] Iter 163, objectives: [4111828.0].
[2024-08-22 09:33:33,769][basic_search][INFO][generic_smbo.py:310] Iter 164, objectives: [3848944.0].
[2024-08-22 09:33:33,844][basic_search][INFO][generic_smbo.py:310] Iter 165, objectives: [4303535.0].
[2024-08-22 09:33:33,913][basic_search][INFO][generic_smbo.py:310] Iter 166, objectives: [3774806.0].
[2024-08-22 09:33:33,985][basic_search][INFO][generic_smbo.py:310] Iter 167, objectives: [4113880.0].
[2024-08-22 09:33:34,056][basic_search][INFO][generic_smbo.py:310] Iter 168, objectives: [3951391.0].
[2024-08-22 09:33:34,133][basic_search][INFO][generic_smbo.py:310] Iter 169, objectives: [4434022.0].
[2024-08-22 09:33:34,203][basic_search][INFO][generic_smbo.py:310] Iter 170, objectives: [3925800.0].
[2024-08-22 09:33:34,273][basic_search][INFO][generic_smbo.py:310] Iter 171, objectives: [3877231.0].
[2024-08-22 09:33:34,347][basic_search][INFO][generic_smbo.py:310] Iter 172, objectives: [4090882.0].
[2024-08-22 09:33:34,417][basic_search][INFO][generic_smbo.py:310] Iter 173, objectives: [3746176.0].
[2024-08-22 09:33:34,495][basic_search][INFO][generic_smbo.py:310] Iter 174, objectives: [4216259.0].
[2024-08-22 09:33:34,566][basic_search][INFO][generic_smbo.py:310] Iter 175, objectives: [3800202.0].
[2024-08-22 09:33:34,641][basic_search][INFO][generic_smbo.py:310] Iter 176, objectives: [3986078.0].
[2024-08-22 09:33:34,718][basic_search][INFO][generic_smbo.py:310] Iter 177, objectives: [4189360.0].
[2024-08-22 09:33:34,794][basic_search][INFO][generic_smbo.py:310] Iter 178, objectives: [4035210.0].
[2024-08-22 09:33:34,874][basic_search][INFO][generic_smbo.py:310] Iter 179, objectives: [4461329.0].
[2024-08-22 09:33:34,950][basic_search][INFO][generic_smbo.py:310] Iter 180, objectives: [4222722.0].
[2024-08-22 09:33:35,029][basic_search][INFO][generic_smbo.py:310] Iter 181, objectives: [4388921.0].
[2024-08-22 09:33:35,101][basic_search][INFO][generic_smbo.py:310] Iter 182, objectives: [3904247.0].
